Giver,Receiver,Year,Type,Points
GB,AL,2008,F,0.0
GB,AL,2008,SF2,3.0
GB,AL,2007,SF,1.0
GB,AL,2006,SF,2.0
GB,AL,2005,F,0.0
GB,AL,2004,F,1.0
GB,AL,2004,SF,6.0
AL,AD,2007,SF,0.0
AL,AD,2006,SF,0.0
AL,AD,2005,SF,6.0
AL,AD,2004,SF,0.0
AM,AD,2009,SF1,0.0
AM,AD,2008,SF1,0.0
AM,AD,2007,SF,0.0
AM,AD,2006,SF,0.0
AT,AD,2007,SF,0.0
AT,AD,2005,SF,0.0
AT,AD,2004,SF,0.0
AZ,AD,2008,SF1,0.0
BY,AD,2009,SF1,0.0
BY,AD,2007,SF,4.0
BY,AD,2006,SF,0.0
BY,AD,2005,SF,0.0
BY,AD,2004,SF,0.0
BE,AD,2009,SF1,0.0
BE,AD,2008,SF1,0.0
BE,AD,2007,SF,0.0
BE,AD,2006,SF,0.0
BE,AD,2005,SF,0.0
BE,AD,2004,SF,0.0
BA,AD,2009,SF1,0.0
BA,AD,2008,SF1,0.0
BA,AD,2007,SF,0.0
BA,AD,2006,SF,0.0
BA,AD,2005,SF,0.0
BA,AD,2004,SF,0.0
BG,AD,2009,SF1,0.0
BG,AD,2007,SF,0.0
BG,AD,2006,SF,0.0
BG,AD,2005,SF,0.0
HR,AD,2007,SF,2.0
HR,AD,2006,SF,0.0
HR,AD,2005,SF,0.0
HR,AD,2004,SF,0.0
CY,AD,2007,SF,0.0
CY,AD,2006,SF,0.0
CY,AD,2005,SF,0.0
CY,AD,2004,SF,0.0
